,Territorio,NC_   -  0,NC_  0- 10,NC_ 10- 15,NC_ 15- 26,NC_ 26- 55,NC_ 55- 75,NC_ 75-120,NC_120-inf,Income_tot
0,Abano Terme,0.0,3641.0,1997.0,4567.0,3268.0,413.0,400.0,177.0,347774542.0
1,Abbadia Cerreto,0.0,50.0,29.0,73.0,41.0,0.0,0.0,0.0,3399810.0
2,Abbadia Lariana,0.0,511.0,276.0,792.0,656.0,78.0,48.0,31.0,59153455.0
3,Abbadia San Salvatore,0.0,1303.0,783.0,1820.0,754.0,69.0,33.0,13.0,87615654.0
4,Abbasanta,0.0,577.0,194.0,443.0,430.0,26.0,13.0,0.0,30992769.0
5,Abbateggio,0.0,140.0,40.0,74.0,31.0,0.0,0.0,0.0,3517230.0
6,Abbiategrasso,5.0,4885.0,2610.0,7655.0,6245.0,674.0,436.0,198.0,552582690.0
7,Abetone Cutigliano,0.0,509.0,278.0,504.0,257.0,7.0,7.0,0.0,25274459.0
8,Abriola,0.0,406.0,189.0,251.0,73.0,0.0,0.0,0.0,11522386.0
9,Acate,0.0,3714.0,1506.0,984.0,415.0,19.0,18.0,5.0,73238945.0
10,Accadia,0.0,696.0,257.0,486.0,176.0,7.0,12.0,0.0,22940127.0
11,Acceglio,0.0,45.0,21.0,27.0,17.0,0.0,0.0,0.0,1604691.0
12,Accettura,0.0,594.0,277.0,252.0,66.0,4.0,6.0,0.0,13823125.0
13,Acciano,0.0,102.0,42.0,65.0,34.0,0.0,0.0,0.0,3331707.0
14,Accumoli,0.0,154.0,82.0,95.0,48.0,0.0,0.0,0.0,5320645.0
15,Acerenza,0.0,608.0,307.0,414.0,200.0,6.0,8.0,0.0,22151547.0
16,Acerno,0.0,1006.0,368.0,313.0,112.0,4.0,6.0,0.0,20381719.0
17,Acerra,0.0,10939.0,4116.0,8043.0,4974.0,228.0,180.0,43.0,470520269.0
18,Aci Bonaccorsi,0.0,747.0,244.0,447.0,370.0,53.0,30.0,22.0,38922304.0
19,Aci Castello,0.0,3514.0,1255.0,2517.0,2729.0,368.0,376.0,146.0,266540772.0
20,Aci Catena,0.0,5439.0,2267.0,3732.0,2407.0,179.0,167.0,34.0,241592694.0
21,Aci Sant'Antonio,0.0,3563.0,1414.0,2387.0,1756.0,122.0,108.0,34.0,164626350.0
22,Acireale,0.0,11039.0,4454.0,7063.0,5280.0,488.0,375.0,114.0,517037823.0
23,Acquafondata,0.0,84.0,30.0,45.0,20.0,0.0,0.0,0.0,2293216.0
24,Acquaformosa,0.0,280.0,148.0,167.0,53.0,0.0,0.0,0.0,8042283.0
25,Acquafredda,0.0,287.0,161.0,376.0,174.0,19.0,17.0,4.0,20530394.0
26,Acqualagna,0.0,909.0,544.0,1057.0,516.0,37.0,26.0,9.0,56335246.0
27,Acquanegra Cremonese,0.0,197.0,106.0,350.0,181.0,13.0,9.0,0.0,17119451.0
28,Acquanegra sul Chiese,0.0,494.0,350.0,775.0,380.0,32.0,10.0,7.0,39701417.0
29,Acquapendente,0.0,1299.0,689.0,1175.0,705.0,42.0,44.0,11.0,70544555.0
30,Acquappesa,0.0,522.0,165.0,234.0,158.0,8.0,0.0,0.0,14866517.0
31,Acquaro,0.0,738.0,293.0,262.0,107.0,4.0,0.0,0.0,16370889.0
32,Acquasanta Terme,0.0,777.0,321.0,699.0,258.0,21.0,9.0,0.0,31854042.0
33,Acquasparta,0.0,877.0,472.0,1056.0,616.0,38.0,18.0,9.0,57463224.0
34,Acquaviva Collecroce,0.0,205.0,89.0,97.0,43.0,0.0,0.0,0.0,5328253.0
35,Acquaviva Picena,0.0,869.0,455.0,801.0,427.0,28.0,23.0,9.0,45871171.0
36,Acquaviva Platani,0.0,419.0,102.0,107.0,49.0,4.0,0.0,0.0,6697823.0
37,Acquaviva d'Isernia,0.0,121.0,44.0,78.0,41.0,0.0,0.0,0.0,3942907.0
38,Acquaviva delle Fonti,0.0,4514.0,1876.0,3834.0,2776.0,161.0,149.0,38.0,243978352.0
39,Acquedolci,0.0,1383.0,625.0,782.0,466.0,28.0,30.0,0.0,50735567.0
40,Acqui Terme,0.0,3944.0,1940.0,4625.0,3080.0,247.0,257.0,106.0,302920585.0
41,Acri,0.0,6134.0,2087.0,3037.0,1676.0,92.0,69.0,4.0,185567362.0
42,Acuto,0.0,439.0,160.0,361.0,203.0,7.0,7.0,0.0,19010847.0
43,Adelfia,0.0,3938.0,1659.0,2708.0,1998.0,129.0,80.0,16.0,179193823.0
44,Adrano,0.0,8116.0,4063.0,3164.0,1397.0,80.0,74.0,21.0,211142055.0
45,Adrara San Martino,0.0,393.0,202.0,555.0,318.0,26.0,15.0,9.0,31375946.0
46,Adrara San Rocco,0.0,159.0,76.0,218.0,112.0,10.0,0.0,0.0,10489799.0
47,Adria,4.0,3693.0,1963.0,4952.0,3108.0,219.0,150.0,94.0,291656085.0
48,Adro,0.0,1330.0,644.0,1878.0,1124.0,103.0,82.0,35.0,110969605.0
49,Affi,0.0,490.0,274.0,568.0,392.0,33.0,21.0,13.0,37035974.0
50,Affile,0.0,294.0,122.0,295.0,178.0,5.0,0.0,0.0,15053315.0
51,Afragola,0.0,11739.0,4139.0,6986.0,3878.0,206.0,169.0,58.0,418004129.0
52,Africo,0.0,759.0,306.0,677.0,143.0,5.0,0.0,0.0,26629070.0
53,Agazzano,0.0,389.0,254.0,490.0,325.0,40.0,20.0,17.0,34880187.0
54,Agerola,0.0,2128.0,825.0,964.0,516.0,44.0,27.0,15.0,64700826.0
55,Aggius,0.0,404.0,169.0,269.0,142.0,8.0,12.0,0.0,15694379.0
56,Agira,0.0,2061.0,792.0,984.0,538.0,20.0,21.0,9.0,60601454.0
57,Agliana,0.0,3075.0,1991.0,4722.0,2454.0,185.0,96.0,33.0,245371525.0
58,Agliano Terme,0.0,391.0,194.0,375.0,192.0,15.0,13.0,12.0,22200084.0
59,Aglientu,0.0,352.0,175.0,230.0,108.0,7.0,9.0,4.0,14562227.0
60,Agliè,0.0,446.0,260.0,671.0,457.0,45.0,21.0,23.0,45144168.0
61,Agna,0.0,597.0,324.0,854.0,399.0,30.0,17.0,8.0,42049735.0
62,Agnadello,0.0,549.0,344.0,1019.0,660.0,50.0,26.0,10.0,57743252.0
63,Agnana Calabra,0.0,179.0,52.0,53.0,15.0,0.0,0.0,0.0,3158867.0
64,Agnone,0.0,1417.0,481.0,863.0,699.0,41.0,42.0,16.0,61640427.0
65,Agnosine,0.0,276.0,160.0,455.0,288.0,28.0,13.0,8.0,26550063.0
66,Agordo,0.0,582.0,370.0,1250.0,945.0,88.0,70.0,24.0,82288886.0
67,Agosta,0.0,315.0,152.0,369.0,272.0,10.0,6.0,4.0,21859872.0
68,Agra,0.0,100.0,31.0,50.0,33.0,0.0,0.0,0.0,3007108.0
69,Agrate Brianza,0.0,2217.0,1137.0,3631.0,3458.0,392.0,239.0,114.0,291362560.0
